manual_code,section_code,section_title,orig_start_page,orig_end_page,chapter_pdf_filename,chapter_total_pages,edition_id,source_pdf_sha256,source_pdf_page_count,anchor_p1_expected,anchor_p1_text_sha256,anchor_p1_image_phash,anchor_mid_expected,anchor_mid_text_sha256,anchor_mid_image_phash,anchor_last_expected,anchor_last_text_sha256,anchor_last_image_phash,page_numbering_type,blank_page_list,rotation_angles,validation_status,anchor_p1_actual,anchor_mid_actual,anchor_last_actual,mid_page_num
U435,22,Rear Wheel Hubs,651,660,U435_22_Wheel_Hub_Rear.pdf,10,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,rear wheel hub drive,2718fc4edf03b429142f1efd9645e676ccf0b9ae9f452057f6cae04c3bdf1402,TBD,rear portal gears,b49dcb67e804ebfb5a7c833ad3a60e1909b5413dea4134dec0d486498d280626,TBD,rear hub torque specs,295fef9923a751b213fc2de7a6579af86df5376151319b0115e286f7ca70aa17,TBD,arabic,,0,PENDING,disassembly and reassembly of wheel hub orive 35.3 disassembly note: operations at left and right·ha,disassembly and reassembly of wheel hub orive 35.3 20 lock drive gear to driven gear (e.g. by insert,35.3 disassembly and assembly of wheel hub orive 747.2 \ \ 6.1/10 urss-0149 18 fit 0-nng on wheel hu,655
U435,23,Service Brakes,681,770,U435_23_Service_Brakes.pdf,90,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,brake system,81aa12b2b23743340951078abca709d2b2c654e571c320849b16f5436ba6ca9e,TBD,brake components,2487795318b848800ed6398a260e250155c60cc1c6751fbce9fa886c4911b63a,TBD,brake discs,b7922dc72abbdf758b4fb22191932a12a26542d88bc79e1220dcf3fb7dd664e5,TBD,arabic,,0,PENDING,35.6 removal and lnstallation of rear axle 747.111/113 2.1/6 lnstallation ratse vehícle and move axl,"exploded view brake components, front axle 6 backplate 12 bolt 18 backplate 24 bracket 29 bolt 34 lo","exploded view brake components, rear axle 5e pin 7e piston 48 mm 7f piston 57 mm 7h repair kit 7k re",725
U435,24,Parking Brake,781,795,U435_24_Parking_Brake.pdf,15,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,parking brake,e9bcf8cb8d5654926ab7bafaa4091137d77fa1a5091ae4bf9f12757e17fdf478,TBD,handbrake adjustment,583c5ae2c16b5eb0fd7afa6c4ec9417fda06a3c3c635feb4625a1d282f94cc64,TBD,parking brake drum,f0cad54162f0ca62712fa5cccde07335794b8871086707b8d2f949098a1b8935,TBD,arabic,,0,PENDING,42.14 diassembly and assembly of rear axle fixed caliper 747.2 1 ur42-0459/1 ur42-0460 3.2/2 7 remov,checking and adjusting alb modulator 42.14 checking and adjusting the load-oependent modu- lation 1 ,lnstallation survey chassis model 435.115 435.117 sales desrgnation u 1300 l u 1300 u37 1) for brake,788
U435,25,Main Hydraulics,801,840,U435_25_Main_Hydraulics.pdf,40,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,hydraulic system,82c51938a1bc9c5c54a708f3390770168f913e0a1ccf0dbc3d150a5c1135c810,TBD,hydraulic pump,4cc5135f59a3dafa356b0b6cd96e6c2d120e1fd604e02b0e871144de39542974,TBD,hydraulic oil,7c119901997b917e0bf1d6f1bf684ad0130a7d03ff86f7e2df39b4763528039d,TBD,arabic,,0,PENDING,"43.11 general fauft traifer control valve, single-line with brakes released, compressed air es-:apes",no. designation 17 trailer control valves for single·line brake system 17. 1 air-controlled with pre,"~ 1 brake diagram (special vehicle 435.115) o ~ ..,. 2 1\) ..,. 1\) 8 35.1a 9.1 32.1 13.2 29.1b d :n",820
U435,43,Pneumatic Brakes,851,890,43_Brakes_Pneumatic.pdf,40,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,pneumatic system,837574fbebfb8a050b9955731b2b033b0d0bbeee67d2ff4472d53ba2581ca55d,TBD,air compressor,587d7c3171f6cf5456d63a9d8bf9f817905a22bc42692bb8dae4f2d3ff28e6cc,TBD,slack adjusters,f2a5dff57bd65a73653cd301686dcabf8018492d6cdd64490316027a3eea1f4c,TBD,arabic,,0,CRITICAL,43.11 general key to 1.7f7 a hydraulícs 1.a - 1st axle b hydrauhc control pressure 2.a 2nd axle e br,"43.11 general sa 36 043 exploded vlew ••• traller brake system 84 trailer control valve, dual-line 8","~ 1 brake diagram (special vehicle 435.113) o 1:5 .¡>. g 1\) .¡>. ""' 6 w e 9.1 13.2 29.1b 14.2 8.1a ",870
U435,18,Steering System,911,930,U435_18_Steering.pdf,20,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,steering preparation,9fddb02d56c91079dbe859c6ce09766fa4da48c058bf721521822340f2a10f46,TBD,steering adjustment,e9df9c1b6f319ba86638ff7a84d16cc30f83b2016de058227b3717cd226c5e96,TBD,pump specifications,7768bb111791c6c1a56c31ad022facf18c4c4182cdc4422c70d44c347528af84,TBD,arabic,,0,PENDING,exploded view 41 323 brake system 41 line 419 44 hose 420 77 hose 424 289 pressure regulator 425 290,general sa 36 043 exploded view system trailer brake 1 valve 2-llne 4 trailer centro lve 2-line ~5 t,general 46.11 765.601 tightening torques location thread n m steering box to trame m 18 x 1.5 x 65 4,920
U435,46,Steering LS7F,948,965,46_Steering.pdf,18,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,steering ls7f,2c6cd6ec66c95173ae7451bc9dd170af873a9bb402e562653581fe3526f15ffb,TBD,steering components,df7bb25d7cd92e0442ce61dd490563777db1169ee9f06b674a6ec3e40a091e7d,TBD,steering damper,6ef4c20c1f3ff4c25f91ffc93e417e2cbf618a2d76a6288a08b51f7ed3b16399,TBD,arabic,,0,PENDING,"contents chapter general 1 nstallation su rvey, steering general view technical data, steering box t",46.12 removal and installation of steering box 765.305 ur46-026s/1 11 ur46-0263/1 2.1/2 5 detach uni,46.12 removal and installation of steering linkage 7.1/2 7 remove angle drive left. 8 remove angle d,956
U435,14,Electrical Wiring,990,1022,U435_14_Wiring.pdf,33,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,electrical system 54.7,b28e658c475a178084a440c2c17cf67af52549379452b4136501a8f5bdadb476,TBD,wiring diagrams,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,TBD,warning lights,1a8e3f24af46b9755aa452cef0f8eefea1dd0d98a175cff1f0f0c8218e4daff2,TBD,arabic,,0,PENDING,electrical system 54.7 contents chapter page 1 general lnstallation survey ci rcuit diagrams 1.1{1 t,,general 54.12 automatic cutouts (from chassis end no. 078 675) automatic cutouts a fu se oesignation,1006
U435,32,Advanced Electrical,1026,1039,U435_32_Advanced_Electrical.pdf,14,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,electrical harness,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,TBD,wire colors,ce419e8c605a890644bad4be1445e42468b58dcf70565b29d16518244c57a87c,TBD,harness protection,7f5f90a055b7e37e36164352d5330ea2a7306c4d3e29a11d82836bd760b5ba74,TBD,arabic,,0,PENDING,,general 54.13 lnstallation survey circuit diagrams chassis electrical equipment lnstallation model s,technical data chassis pto shaft take-off to front model sales version dir. of rotation designation ,1032
U435,29,HVAC Heating,1041,1065,U435_29_HVAC_Heating.pdf,25,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,heating system,b8808bd4d38f103cee61ee2c48e7aa1ab2e4373570d232598374ca462836a438,TBD,heater controls,cf1d34af45aaf39beae593735054caa65d047bee60540a3f5f0a6cccb6598d55,TBD,defroster,22309b862c6a1f936323e424c42e183ac48d2a2e1e23384951d223850193b325,TBD,arabic,,0,PENDING,exploded view ~~~ a~~~~ 104 126 ~123 ~ pto shaft front 5 1 ntermediate shaft 100 15 bearing 104 25 s,lnstallation survey chassts model 435.110 • 111 1) l • lorry general view hydrostat expanston tank 2,"removal and installation of intermed iate transmission removal remo ve hydropu mp, see 3. 1/1. 2 dra",1053
U435,27,Cab Structure,1071,1098,U435_27_Cab_Structure.pdf,28,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,body components,86f9ba77b68746a9310432d80528f1c5fd239b49f2a5a082c2f7ab4406fb04ae,TBD,cab mounting,6fada133336bf2f1f349577dc08fc596f659e08619943881af7d05d83aa0196a,TBD,hood,36a1bf4a8c02a3aa2b7ad0d8b14df9cd195993b6bab48345ee5abe5fcdb16d0f,TBD,arabic,,0,PENDING,removal and installation of oil cooler 55.202 removal raise engine bonnet and remove front cover. 2 ,ra ising and lowering of cal;? 60.5 sa 35 990 raising put in sixth. 2 detach engine hood and front p,renewing and adjusting tailgates 60.12 renewing open right door and unscrew at the hinges. 2 open le,1084
U435,42,Hydraulic Mechanical Brakes,1101,1127,42_Brakes_Hydraulic_Mechanical.pdf,27,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,hydraulic brake system,17d38bebc6e4910551453f26782f791cd544acb6174eb62dda0d9547699f619d,TBD,brake cylinders,7d09ca54cf851c7429b9a0af9455787ebaaad1382dffa616f9a6c3bca6da733b,TBD,brake system diagram,ebe2c30d1620c21352f6d40e459cd721b57bc58d260b1889ba6aefe96290dc9a,TBD,arabic,,0,PENDING,renewing cable of side entrance 60.12 renewing 1 open side door and withdraw steps. 2 detach cable a,60.12 removal and lnstallation of stretcher frame 435.500 16.1/2 5 unscrew limit stops from lower st,general 82.15 435.500 technical data auxiliary batterles (in box-type body) voltage v 2 x 12 capacit,1114
U435,41,Eberspacher Heater,1152,1183,U435_41_Heater_Eberspacher.pdf,32,U435_1985_EN_v1,489381a41ab43748e36af99ab4eeaced1b3d6bbcff337c01676d05d7361da9a0,1185,auxiliary heater,6fc874761801a5b464e4925ff5d78af59ba76ecd75e7234f51a11a92e1464438,TBD,heater timer,2b62b6550a8e56e3ea3bb40c306c9dd5ebaf4c9fc605a5ea52674cd1267f0b56,TBD,heater maintenance,1657e0a2ded17593ab00c58a6a6e8900d730c61944ca6d174063671823e6c447,TBD,arabic,,0,PENDING,"auxiliary heater (eberspacher v 7 s) 83.11 contents chapter 1 general lnstallation survey, special t",removal and lnstallation of suppressor combination 83.11 removal and lnstallation remove cover plate,"renewing remove heater unit, see 16.1/1. 2 detach cover. 3 unscrew screws of the 8-pin plug connecto",1167
